,county,price,house_type,house_address
198,cavan,170000, Semi-Detached House,"57 Pairc An Duin, Swellan, Cavan, Co. Cavan"
199,cavan,149000, Detached House,"'Hillcrest', Barrack Street, Bailieborough, Co. Cavan"
200,cavan,180000, Semi-Detached House,"36 Maple Drive, Drumgola Wood, Cavan, Co. Cavan"
201,cavan,150000, Semi-Detached House,"Rock Cross, Farnham Rd, Cavan, Co. Cavan"
202,cavan,165000, Semi-Detached House,"75 Drumcarraig, Cavan, Co. Cavan"
203,cavan,289500, Detached House,"Lisgrey, Virginia, Co. Cavan"
204,cavan,150000, Detached House,"Aghagoldrick, Stradone, Co. Cavan"
205,cavan,189500, Semi-Detached House,"51 Yew Park, Virginia, Virginia, Co. Cavan"
206,cavan,199995, Semi-Detached House,"28 Rampart View, Virginia, Co. Cavan"
207,cavan,160000, Semi-Detached House,"13 Parkview, Virginia, Co. Cavan"
208,cavan,289500, Detached House,"Lisgrey, Virginia, Co. Cavan"
209,cavan,350000, Detached House,"(ID 171) Lisnabuntry, Virginia, Co. Cavan"
210,cavan,60000, Detached House,"(ID 373) Lurganaville A82 PV09, Bailieborough, Co. Cavan"
211,cavan,100000, Detached House,"Shannow, Ballinagh, Co. Cavan"
212,cavan,85000, Detached House,"Termon, Virginia, Co. Cavan"
213,cavan,208000, Semi-Detached House,"98 Rampart View, Virginia, Co. Cavan"
214,cavan,176000, Semi-Detached House,"40 Deerpark Manor, Virginia, Co. Cavan"
215,cavan,289950, Detached House,"Leiter, Bailieborough, Co. Cavan"
216,cavan,135000, Semi-Detached House,"No 1 Harmony Heights, Cavan, Co. Cavan"
217,cavan,64950, Detached House,"Cloncurkney, Bawnboy, Co. Cavan"
218,cavan,299950, Detached House,"Riverside House, Ryefield, Virginia, Co. Cavan"
219,cavan,119000, Terraced House,"Kilconny, Belturbet, Co. Cavan"
220,cavan,235000, Detached House,"Carrickavee, Ballyjamesduff, Co. Cavan"
221,cavan,219500, Semi-Detached House,"71 Rampart View, Virginia, Co. Cavan"
222,cavan,295000, Detached House,"Ryefield, Virginia, Co. Cavan"
223,cavan,135000, Detached House,"Kilmainhamwood Retirement Village, Kingscourt, Co. Cavan"
224,cavan,295000, Detached House,"Ryefield, Virginia, Co. Cavan"
225,cavan,150000, Detached House,"Tullyvin, Cootehill, Co. Cavan"
226,cavan,70000, Detached House,"Cavan Road, Ballinagh, Co. Cavan"
227,cavan,220000, Detached House,"1 Woodlands, Virginia Road, Ballyjamesduff, Co. Cavan"
228,cavan,249950, Detached House,"9 Rampart View, Virginia, Co. Cavan"
229,cavan,290000, Detached House,"5 Cluain Mullach, Mullagh, Co. Cavan"
230,cavan,229950, Semi-Detached House,"110 Rampart View, Virginia, Co. Cavan"
231,cavan,239000, Detached House,"Leiter Bailieborough Co Cavan, Bailieborough, Co. Cavan"
232,cavan,65000, Detached House,"Lot 1, Cornakill, Kingscourt, Co. Cavan"
233,cavan,185000, Terraced House,"16 Headford Grove, Virginia, Co. Cavan"
234,cavan,325000, Detached House,"Beagh, Killinkere, Co. Cavan"
235,cavan,145000, Detached House,"Farney, Cullies, Cavan, Co. Cavan"
236,cavan,159500, Detached House,"Ross, Mountnugent, Co. Cavan"
237,cavan,135000, Detached House,"Cloghoge Alteen Road, Swanlinbar, Co. Cavan"
238,cavan,200000, Detached House,"Kilnacrott, Ballyjamesduff, Co. Cavan"
239,cavan,185000, Semi-Detached House,"8 Oak Manor, Drumgola Wood, Latt, Cavan, Co. Cavan"
240,cavan,170000, Semi-Detached House,"2 Beech Hill, Cavan, Co. Cavan"
241,cavan,149950, Semi-Detached House,"9 Cluain Aoibhinn, Cavan, Co. Cavan"
